x1,y1,z1,x2,y2,z2
-921.174,-1014.802,22.489,-921.576,-1014.659,22.056
-921.159,-1014.501,23.704,-921.564,-1014.325,22.210
-921.104,-1014.628,22.873,-921.586,-1014.252,22.282
-921.087,-1014.573,22.773,-921.681,-1014.357,22.997
-921.174,-1014.767,22.485,-921.662,-1014.686,22.385
-921.092,-1014.601,22.956,-921.723,-1014.809,21.975
-921.199,-1014.517,22.020,-921.705,-1014.618,22.612
-921.208,-1014.611,23.520,-921.709,-1014.362,22.782
-921.077,-1014.518,23.294,-921.565,-1014.374,22.339
-921.061,-1014.446,22.838,-921.655,-1014.653,22.450
-921.158,-1014.491,23.643,-921.655,-1014.703,22.163
-921.046,-1014.452,23.171,-921.657,-1014.585,22.593
-921.202,-1014.537,21.750,-921.660,-1014.326,22.713
-921.135,-1014.447,23.755,-921.600,-1014.273,22.338
-921.085,-1014.561,22.554,-921.835,-1014.669,22.558
-921.160,-1014.784,22.284,-921.639,-1014.379,22.933
-921.294,-1014.773,21.680,-921.701,-1014.157,22.679
-921.231,-1014.642,21.505,-921.666,-1014.333,22.949
-921.151,-1014.420,23.498,-921.717,-1014.141,22.493
-921.143,-1014.746,23.247,-921.692,-1014.214,22.673
-921.141,-1014.717,23.370,-921.624,-1014.317,22.820
-921.183,-1014.506,21.842,-921.738,-1014.146,22.348
-921.240,-1014.715,22.089,-921.696,-1014.697,22.356
-921.124,-1014.676,22.963,-921.739,-1014.801,21.926
-921.187,-1014.594,23.685,-921.638,-1014.702,22.120
-921.250,-1014.672,21.498,-921.626,-1014.628,22.198
-921.097,-1014.447,23.444,-921.513,-1014.301,21.626
-921.082,-1014.416,23.176,-921.617,-1014.417,22.675
-921.128,-1014.720,23.041,-921.549,-1014.241,21.727
-921.209,-1014.592,22.028,-921.675,-1014.182,22.623
-921.140,-1014.675,22.267,-921.750,-1014.810,22.108
-921.193,-1014.634,23.759,-921.522,-1014.252,21.431
-921.050,-1014.459,22.737,-921.608,-1014.534,22.255
-921.136,-1014.447,23.768,-921.472,-1014.409,22.489
-921.158,-1014.758,22.379,-921.636,-1014.212,22.585
-921.136,-1014.743,22.738,-921.594,-1014.371,22.582
-921.197,-1014.505,21.796,-921.678,-1014.208,22.667
-921.357,-1014.773,21.424,-921.809,-1014.681,22.547
-921.096,-1014.531,22.371,-921.642,-1014.550,22.656
-921.079,-1014.530,23.397,-921.716,-1014.272,22.908
-921.134,-1014.683,22.326,-921.564,-1014.197,22.437
-921.143,-1014.400,23.638,-921.786,-1014.664,22.200
-921.276,-1014.756,23.651,-921.706,-1014.263,22.795
-921.135,-1014.648,23.386,-921.607,-1014.286,22.583
-921.062,-1014.450,22.847,-921.744,-1014.490,21.481
-921.093,-1014.544,22.513,-921.576,-1014.298,22.128
-921.261,-1014.722,21.584,-921.677,-1014.630,22.220
-921.219,-1014.703,23.807,-921.767,-1014.789,22.088
-921.102,-1014.638,23.029,-921.742,-1014.136,22.505
-921.221,-1014.635,22.071,-921.695,-1014.173,22.312
-921.221,-1014.615,22.092,-921.690,-1014.770,22.086
-921.219,-1014.644,22.084,-921.648,-1014.535,22.692
-921.158,-1014.794,22.328,-921.657,-1014.398,22.958
-921.187,-1014.634,23.615,-921.567,-1014.242,21.537
-921.201,-1014.801,22.524,-921.733,-1014.152,22.547
-921.112,-1014.673,23.092,-921.667,-1014.406,22.965
-921.195,-1014.528,21.826,-921.820,-1014.610,22.728
-921.200,-1014.618,23.502,-921.810,-1014.820,22.163
-921.046,-1014.429,23.063,-921.625,-1014.748,22.016
-921.072,-1014.519,22.452,-921.668,-1014.608,22.751
-921.118,-1014.654,22.920,-921.651,-1014.743,21.881
-921.197,-1014.492,21.553,-921.615,-1014.620,22.383
-921.070,-1014.523,23.072,-921.601,-1014.270,22.083
-921.216,-1014.584,21.593,-921.748,-1014.668,22.204
-921.109,-1014.658,23.312,-921.590,-1014.578,22.121
-921.124,-1014.537,23.443,-921.622,-1014.248,22.545
-921.066,-1014.484,22.893,-921.567,-1014.233,22.466
-921.069,-1014.488,23.241,-921.760,-1014.496,22.885
-921.127,-1014.413,23.707,-921.641,-1014.758,22.008
-921.082,-1014.453,23.430,-921.636,-1014.263,22.697
-921.126,-1014.712,23.078,-921.709,-1014.285,22.823
-921.115,-1014.675,23.176,-921.628,-1014.754,22.027
-921.254,-1014.689,21.889,-921.763,-1014.213,21.358
-921.136,-1014.702,23.170,-921.672,-1014.698,22.167
-921.215,-1014.735,23.459,-921.536,-1014.407,22.156
-921.105,-1014.609,23.158,-921.705,-1014.624,22.258
-921.156,-1014.786,23.019,-921.552,-1014.356,22.302
-921.268,-1014.762,22.125,-921.595,-1014.697,21.933
-921.229,-1014.685,23.505,-921.518,-1014.338,21.967
-921.111,-1014.658,22.969,-921.541,-1014.351,21.988
-921.377,-1014.736,21.468,-921.693,-1014.256,22.767
-921.246,-1014.689,22.071,-921.709,-1014.601,22.461
-921.120,-1014.666,22.590,-921.577,-1014.459,22.541
-921.208,-1014.664,23.500,-921.599,-1014.609,22.414
-921.090,-1014.534,22.517,-921.696,-1014.814,21.963
-921.251,-1014.698,21.634,-921.755,-1014.518,21.605
-921.096,-1014.572,22.751,-921.583,-1014.198,22.391
-921.172,-1014.808,22.357,-921.634,-1014.363,22.905
-921.154,-1014.773,22.906,-921.634,-1014.741,21.997
-921.189,-1014.595,23.642,-921.641,-1014.228,22.496
-921.108,-1014.594,22.292,-921.676,-1014.347,22.977
-921.197,-1014.507,21.790,-921.677,-1014.231,22.719
-921.186,-1014.521,21.436,-921.592,-1014.366,22.572
-921.127,-1014.688,23.293,-921.763,-1014.573,21.682
-921.154,-1014.713,22.261,-921.734,-1014.782,22.129
